id	chr	start	end	assigned gene	name	distance (bp)	Dl_Tl10b_DmWG_Max	Dl_Tl10b_DmWG_PositionMax	Twist_Tl10b_DmWG_Max	Twist_Tl10b_DmWG_PositionMax	Snail_Tl10b_DmWG_Max	Snail_Tl10b_DmWG_PositionMax	DTS high confidence	TS high confidence	known DV enhancer	confirmed DV enhancer	putative DV enhancer	references	sna site: 0% conservation	sna site: 20% conservation	sna site: 40% conservation	sna site: 60% conservation	sna site: 80% conservation	sna site: 100% conservation	twi site: 0% conservation	twi site: 20% conservation	twi site: 40% conservation	twi site: 60% conservation	twi site: 80% conservation	twi site: 100% conservation	dl site: 0% conservation	dl site: 20% conservation	dl site: 40% conservation	dl site: 60% conservation	dl site: 80% conservation	dl site: 100% conservation
2L_955175_955425	2L	955175	955425	CG4341	CG4341	transcript overlap	0.864495798	955285	9.383688601	955285	10.57784744	955285	0	1	0	0	0		2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
2L_1065637_1067268	2L	1065637	1067268	CG4385	S	transcript overlap	2.282563025	1066838	6.030583874	1066838	8.57784744	1066838	1	0	0	0	0		2	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0
2L_1067819_1069122	2L	1067819	1069122	CG4385	S	transcript overlap	2.277310924	1068644	5.869323448	1068644	7.773249739	1068644	1	0	0	0	0		2	2	2	2	2	0	4	3	3	3	2	0	2	1	0	0	0	0
2L_1075636_1077929	2L	1075636	1077929	CG4385	S	TSS overlap	5.153361345	1076585	13.06580167	1076585	15.1400209	1076585	1	0	0	0	0		5	0	0	0	0	0	3	0	0	0	0	0	7	1	0	0	0	0
2L_1119214_1120201	2L	1119214	1120201	CG4710	smi21F	transcript overlap	3.590336134	1119262	4.03429101	1120039	5.966562173	1120039	1	0	0	0	0		2	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0
2L_1410429_1411976	2L	1410429	1411976	CG5481	lea	transcript overlap	2.864495798	1411089	5.400370714	1411089	7.124346917	1411089	1	0	0	0	0		1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0
2L_1421080_1422194	2L	1421080	1422194	CG5481	lea	631	1.412815126	1421728	3.555143652	1421728	5.597701149	1421728	0	1	0	0	0		1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2L_1485874_1486434	2L	1485874	1486434	CG31928	CG31928	5880	2.017857143	1485984	3.641334569	1485984	5.415882968	1485984	1	0	0	0	0		1	1	1	1	0	0	2	2	2	2	0	0	1	0	0	0	0	0
2L_1517638_1518750	2L	1517638	1518750	CG7428	halo	TSS overlap	7.673319328	1518307	16.68489342	1518307	23.31452456	1518307	1	0	0	0	0		0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0
2L_1886313_1886863	2L	1886313	1886863	CG7337	CG7337	transcript overlap	1.68487395	1886694	3.178869323	1886694	5.881922675	1886694	0	1	0	0	0		2	2	2	2	1	0	2	2	2	2	1	0	3	0	0	0	0	0
2L_2162783_2165538	2L	2162783	2165538	CG3166	aop	transcript overlap	3.858193277	2164809	7.511584801	2164809	10.85161964	2164809	1	0	0	0	0		3	3	3	2	0	0	5	5	5	5	0	0	1	0	0	0	0	0
2L_2171847_2173170	2L	2171847	2173170	CG3166	aop	transcript overlap	1.761554622	2172238	7.355885079	2172742	10.32183908	2172742	0	1	0	0	0		1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0
2L_2178240_2178982	2L	2178240	2178982	CG3166	aop	TSS overlap	1.745798319	2178348	3.290083411	2178348	5.538140021	2178348	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_2196649_2197467	2L	2196649	2197467	CG10874	CG10874	4277	8.650210084	2197307	3.489341983	2197030	5.177638454	2197030	1	0	0	0	0		3	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
2L_2331397_2332233	2L	2331397	2332233	CG9967	CG9967	transcript overlap	1.485294118	2331802	3.282669138	2331802	5.169278997	2331802	0	1	0	0	0		4	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
2L_2447933_2448476	2L	2447933	2448476	CG9885	dpp	transcript overlap	1.239495798	2448043	3.929564411	2448043	5.098223615	2448043	0	1	0	0	1	"St. Johnston and Gelbart, 1987; Huang et al., 1993"	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
2L_2456248_2457530	2L	2456248	2457530	CG9885	dpp	transcript overlap	3.12289916	2456609	5.59128823	2456834	8.878787879	2456834	1	0	1	0	1	"St. Johnston and Gelbart, 1987; Huang et al., 1993"	2	1	1	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1
2L_2749502_2751407	2L	2749502	2751407	CG3127	Pgk	980	15.68382353	2749612	7.549582947	2750677	10.08986416	2750677	1	0	0	0	0		5	1	1	1	1	1	4	2	2	1	1	1	0	0	0	0	0	0
2L_2999386_3001267	2L	2999386	3001267	CG3558	CG3558	6422	2.37289916	3000324	5.245597776	3000847	7.885057471	3000847	1	0	0	0	0		0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0
2L_3071598_3072957	2L	3071598	3072957	CG9660	toc	transcript overlap	3.017857143	3071988	3.742354032	3071988	5.251828631	3071988	1	0	0	0	0		1	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0
2L_3078380_3079457	2L	3078380	3079457	CG9660	toc	transcript overlap	2.328781513	3078972	4.367933272	3078972	5.538140021	3078972	1	0	0	0	0		1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2L_3082667_3084235	2L	3082667	3084235	CG9660	toc	transcript overlap	3.492647059	3083310	8.160333642	3083056	9.721003135	3083056	1	0	0	0	0		6	5	3	2	1	0	2	1	1	1	0	0	2	2	1	1	1	0
2L_3094396_3095556	2L	3094396	3095556	CG9660	toc	transcript overlap	4.62289916	3095091	6.101019462	3095091	7.89446186	3095091	1	0	0	0	0		6	4	3	1	1	1	2	1	1	1	1	0	0	0	0	0	0	0
2L_3532870_3533923	2L	3532870	3533923	CG8853	CG8853	1967	1.62605042	3533532	4.766450417	3533532	6.326018809	3533532	0	1	0	0	0		1	1	1	1	1	0	1	0	0	0	0	0	3	0	0	0	0	0
2L_3602601_3603124	2L	3602601	3603124	CG3851	odd	3624	1.24789916	3602991	4.12326228	3602991	6.108672936	3602991	0	1	0	0	0		1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_3608131_3609727	2L	3608131	3609727	CG3851	odd	1383	2.255252101	3609067	5.907321594	3609067	7.359456635	3609067	1	0	0	0	0		2	1	1	1	0	0	4	4	3	2	2	0	1	0	0	0	0	0
2L_3614101_3615695	2L	3614101	3615695	CG2788	Dot	3597	1.459033613	3614755	3.530120482	3614755	5.861024033	3614755	0	1	0	0	0		1	1	0	0	0	0	2	2	1	1	1	0	2	1	0	0	0	0
2L_3631694_3633271	2L	3631694	3633271	CG10033	for	transcript overlap	1.795168067	3632065	4.728452271	3632345	6.376175549	3632345	0	1	0	0	0		2	2	1	1	1	0	2	1	1	1	0	0	3	1	0	0	0	0
2L_3769965_3772111	2L	3769965	3772111	CG10021	bowl	TSS overlap	2.649159664	3771765	5.075069509	3771765	9.297805643	3771765	1	0	0	0	0		2	2	2	2	2	2	1	0	0	0	0	0	7	2	0	0	0	0
2L_3817765_3818822	2L	3817765	3818822	CG3407	CG3407	4358	1.44012605	3818155	4.370713624	3818431	5.496342738	3818431	0	1	0	0	0		2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_3821283_3823191	2L	3821283	3823191	CG16738	slp1	2489	1.169117647	3822750	4.080630213	3821367	5.549634274	3822750	0	1	0	0	0		1	0	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0	0
2L_3833582_3834671	2L	3833582	3834671	CG2939	slp2	2171	1.399159664	3834252	3.102873031	3833972	5.655172414	3833972	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_4031335_4032204	2L	4031335	4032204	CG12676	ed	TSS overlap	2.301470588	4031387	5.329935125	4031758	8.873563218	4031758	1	0	0	0	0		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_4034385_4035154	2L	4034385	4035154	CG12676	ed	transcript overlap	3.68697479	4034494	4.1918443	4034494	8.661442006	4034494	1	0	0	0	0		1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
2L_4221264_4222279	2L	4221264	4222279	CG3352	ft	3412	1.340336134	4221908	4.875810936	4221908	6.760710554	4221908	0	1	0	0	0		1	1	1	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0
2L_4280814_4283291	2L	4280814	4283291	CG15427	tutl	TSS overlap	1.642857143	4281964	5.835959222	4282796	9.065830721	4282796	0	1	0	0	0		1	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0
2L_4286981_4287805	2L	4286981	4287805	CG15427	tutl	transcript overlap	2.487394958	4287356	7.304911956	4287356	9.835945664	4287356	1	0	0	0	0		3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2L_4363645_4364428	2L	4363645	4364428	CG3048	Traf1	7562	1.512605042	4364033	4.254865616	4364033	5.494252874	4364033	0	1	0	0	0		0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
2L_4366567_4367123	2L	4366567	4367123	CG3048	Traf1	4867	2.774159664	4366677	7.96107507	4366677	10.68025078	4366677	1	0	0	0	0		3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_4369794_4371149	2L	4369794	4371149	CG3048	Traf1	841	2.355042017	4370175	6.088044486	4370175	3.709508882	4370175	1	0	0	0	0		1	1	1	0	0	0	5	5	3	0	0	0	0	0	0	0	0	0
2L_4378054_4379933	2L	4378054	4379933	CG3048	Traf1	transcript overlap	4.31512605	4379763	5.256719184	4378719	7.771159875	4378719	1	0	0	0	0		2	2	2	1	1	0	3	3	2	2	2	0	1	0	0	0	0	0
2L_4494605_4495392	2L	4494605	4495392	CG33196	dp	transcript overlap	1.381302521	4495222	4.647822057	4495222	5.536050157	4495222	0	1	0	0	0		2	1	1	1	0	0	3	3	2	0	0	0	0	0	0	0	0	0
2L_4519185_4519935	2L	4519185	4519935	CG33196	dp	transcript overlap	1.260504202	4519549	4.69416126	4519549	6.871473354	4519549	0	1	0	0	0		3	1	1	0	0	0	2	1	1	0	0	0	1	1	1	0	0	0
2L_4557887_4558985	2L	4557887	4558985	CG33196	dp	transcript overlap	1.278361345	4558815	4.897126969	4558255	6.249738767	4558255	0	1	0	0	0		4	1	0	0	0	0	3	2	1	1	0	0	1	1	1	1	0	0
2L_4823627_4824413	2L	4823627	4824413	CG15628	CG15628	transcript overlap	3.911764706	4824000	8.431881372	4824000	11.77324974	4824000	1	0	0	0	0		1	1	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0
2L_5239532_5240570	2L	5239532	5240570	CG14026	tkv	transcript overlap	1.852941176	5239922	5.717330862	5239922	4.648902821	5239922	0	1	0	0	0		1	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
2L_5410156_5410951	2L	5410156	5410951	CG6604	H15	transcript overlap	1.818277311	5410528	5.100092678	5410528	7.220480669	5410528	0	1	0	0	0		1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_5473838_5474671	2L	5473838	5474671	CG6634	mid	12197	1.360294118	5474228	3.291010195	5474228	5.16091954	5474228	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_5564131_5564379	2L	5564131	5564379	CR32998	snRNA:U4:25F	1240	1.549369748	5564219	3.633920297	5564219	5.106583072	5564219	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_5658435_5658760	2L	5658435	5658760	CG31646	CG31646	TSS overlap	2.554621849	5658606	3.488415199	5658606	5.770114943	5658606	1	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_5789144_5789950	2L	5789144	5789950	CG9171	CG9171	transcript overlap	2.93802521	5789506	4.693234476	5789506	6.684430512	5789506	1	0	0	0	0		0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
2L_5805186_5805495	2L	5805186	5805495	CG11034	CG11034	TSS overlap	1.891806723	5805268	5.122335496	5805268	7.593521421	5805268	0	1	0	0	0		1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2L_5870267_5871594	2L	5870267	5871594	CG8965	CG8965	transcript overlap	3.621848739	5871202	16.23169601	5871202	19.77429467	5871202	1	0	0	0	0		1	1	1	1	0	0	2	2	2	2	2	1	2	1	0	0	0	0
2L_5907362_5907901	2L	5907362	5907901	CG14001	bchs	transcript overlap	2.075630252	5907731	4.746061168	5907470	6.586206897	5907470	1	0	0	0	0		1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0
2L_5996899_5997634	2L	5996899	5997634	CG9088	lid	transcript overlap	1.608193277	5997190	2.557924004	5997190	5.263322884	5997190	0	1	0	0	0		2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
2L_6071366_6072155	2L	6071366	6072155	CG9159	Kr-h2	transcript overlap	1.43907563	6071476	7.843373494	6071705	12.65621735	6071705	0	1	0	0	0		3	2	2	2	2	2	3	2	2	2	2	2	1	0	0	0	0	0
2L_6078751_6079799	2L	6078751	6079799	CG9162	CG9162	298	2.675420168	6078878	6.40871177	6078878	9.426332288	6078878	1	0	0	0	0		3	2	0	0	0	0	5	1	1	0	0	0	2	1	0	0	0	0
2L_6088389_6088876	2L	6088389	6088876	CG18783	Kr-h1	transcript overlap	4.551470588	6088499	4.504170528	6088499	5.827586207	6088499	1	0	0	0	0		0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0
2L_6152814_6153332	2L	6152814	6153332	CG13990	CG13990	transcript overlap	0.671218487	6153034	5.77849861	6153034	9.503657262	6153034	0	1	0	0	0		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2L_6373022_6374641	2L	6373022	6374641	CG9506	slam	transcript overlap	2.330882353	6374471	2.628359592	6374471	5.21630094	6374471	1	0	0	0	0		5	2	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0
2L_6646108_6646877	2L	6646108	6646877	CG31635	CG31635	transcript overlap	1.387605042	6646479	4.662650602	6646479	7.868338558	6646479	0	1	0	0	0		2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2L_6722672_6723327	2L	6722672	6723327	CG11324	homer	transcript overlap	2.272058824	6722782	4.690454124	6722782	7.742946708	6722782	1	0	0	0	0		4	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0
2L_6734389_6735221	2L	6734389	6735221	CG11201	CG11201	transcript overlap	1.256302521	6734779	7.860055607	6734779	14.18913271	6734779	0	1	0	0	0		3	3	2	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0
2L_6788279_6788529	2L	6788279	6788529	CG9258	nrv1	1430	0.950630252	6788359	4.738646895	6788359	6.654127482	6788359	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_7009420_7011364	2L	7009420	7011364	CG13776	CG13776	2132	3.369747899	7010639	6.912882298	7010639	7.247648903	7010639	1	0	0	0	0		2	1	1	0	0	0	3	2	0	0	0	0	1	1	0	0	0	0
2L_7056034_7057966	2L	7056034	7057966	CG13778	Mnn1	TSS overlap	4.966386555	7056265	3.020389249	7056381	5.335423197	7056661	1	0	0	0	0		8	3	1	1	0	0	4	1	1	1	0	0	0	0	0	0	0	0
2L_7289871_7290653	2L	7289871	7290653	CG13785	CG13785	7338	4.551470588	7290217	3.860055607	7289977	5.871473354	7289977	1	0	0	0	0		3	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
2L_7299287_7300660	2L	7299287	7300660	CG4889	wg	6501	2.457983193	7300211	4.888785913	7300211	7.247648903	7300211	1	0	0	0	0		1	0	0	0	0	0	1	1	1	1	0	0	2	1	1	0	0	0
2L_7526157_7527515	2L	7526157	7527515	CG33529	Rapgap1	transcript overlap	1.759453782	7527083	3.882298424	7527083	5.20585162	7527083	0	1	0	0	0		2	2	0	0	0	0	4	2	1	0	0	0	2	0	0	0	0	0
2L_8145240_8145788	2L	8145240	8145788	CG8552	CG8552	transcript overlap	1.807773109	8145350	3.990732159	8145350	5.988505747	8145350	0	1	0	0	0		3	1	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	0
2L_8156687_8157237	2L	8156687	8157237	CG8552	CG8552	transcript overlap	2.357142857	8156792	3.732159407	8157067	5.112852665	8157067	1	0	0	0	0		3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
2L_8208906_8209746	2L	8208906	8209746	CG8409	Su(var)205	1387	3.048319328	8209296	2.810009268	8209296	5.037617555	8209016	1	0	0	0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_8266339_8267011	2L	8266339	8267011	CG8049	Btk29A	transcript overlap	1.853991597	8266838	6.064874884	8266838	9.258098224	8266838	0	1	0	0	0		4	2	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0
2L_8415689_8417207	2L	8415689	8417207	CG13388	Akap200	TSS overlap	3.316176471	8415719	6.024096386	8416588	9.234064786	8416588	1	0	0	0	0		2	1	1	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0
2L_8521747_8522356	2L	8521747	8522356	CG10593	Acer	TSS overlap	1.421218487	8521906	7.407784986	8521906	10.45768025	8521906	0	1	0	0	0		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_8809697_8810218	2L	8809697	8810218	CG18024	SoxN	15407	1.707983193	8810056	3.574606117	8810056	5.76907001	8810056	0	1	0	0	1	"Cremazy et al., 2000; Stathopoulos et al., 2002 "	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_8832084_8832897	2L	8832084	8832897	CG18024	SoxN	6459	2.74894958	8832448	4.892493049	8832448	6.539184953	8832448	1	0	0	0	1	"Cremazy et al., 2000; Stathopoulos et al., 2002 "	3	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
2L_8841307_8842609	2L	8841307	8842609	CG18024	SoxN	15682	4.200630252	8842161	9.721964782	8842161	13.74399164	8842161	1	0	0	0	1	"Cremazy et al., 2000; Stathopoulos et al., 2002 "	1	0	0	0	0	0	1	0	0	0	0	0	3	2	1	1	0	0
2L_8845744_8847674	2L	8845744	8847674	CG32986	CG32986	15133	1.870798319	8846094	5.980537535	8846920	8.614420063	8846920	0	1	0	0	0		1	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0
2L_8848744_8850048	2L	8848744	8850048	CG32986	CG32986	12759	7.339285714	8849405	17.5931418	8849405	22.81295716	8849405	1	0	0	0	0		1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0
2L_8875575_8876421	2L	8875575	8876421	CG9483	CG9483	8808	1.62605042	8875973	8.113994439	8875973	14.41065831	8875973	0	1	0	0	0		4	3	2	2	2	2	2	2	2	2	2	2	1	1	0	0	0	0
2L_9012355_9013850	2L	9012355	9013850	CG13102	CG13102	transcript overlap	1.49789916	9012728	7.359592215	9013289	9.257053292	9013289	0	1	0	0	0		6	3	3	1	0	0	5	2	2	0	0	0	0	0	0	0	0	0
2L_9144762_9147130	2L	9144762	9147130	CG32982	CG32982	transcript overlap	2.721638655	9145897	6.533827618	9146437	8.92476489	9146437	1	0	0	0	0		3	3	3	3	3	3	7	7	6	4	4	3	4	1	0	0	0	0
2L_9431474_9431961	2L	9431474	9431961	CG3766	scat	transcript overlap	1.557773109	9431654	4.21686747	9431654	6.808777429	9431654	0	1	0	0	0		1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
2L_9454180_9455027	2L	9454180	9455027	CG3779	numb	transcript overlap	2.282563025	9454557	10.16496756	9454557	10.87147335	9454557	1	0	0	0	0		1	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0
2L_9570115_9570696	2L	9570115	9570696	CG3838	CG3838	transcript overlap	1.179621849	9570505	4.28544949	9570365	7.409613375	9570505	0	1	0	0	0		3	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0
2L_9601885_9602453	2L	9601885	9602453	CG4382	CG4382	993	1.546218487	9602285	4.020389249	9602285	5.739811912	9602285	0	1	0	0	0		2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2L_9609665_9610003	2L	9609665	9610003	CG3858	gcm2	transcript overlap	1.962184874	9609845	3.481000927	9609845	5.011494253	9609845	0	1	0	0	0		0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2L_9938206_9939040	2L	9938206	9939040	CG4619 CG31713	CG4619 CG31713	TSS overlap	6.119747899	9938799	3.844300278	9938659	5.728317659	9938659	1	0	0	0	0		4	3	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0
2L_9984011_9984860	2L	9984011	9984860	CG4722 CG13130	bib CG13130	TSS overlap	11.36659664	9984121	3.258572753	9984690	5.390804598	9984690	1	0	0	0	0		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2L_9987858_9990262	2L	9987858	9990262	CG4722	bib	transcript overlap	5.049369748	9988508	13.21964782	9988508	16.61755486	9988508	1	0	0	0	0		4	4	4	4	4	3	8	6	5	4	4	3	2	0	0	0	0	0
2L_10264484_10264727	2L	10264484	10264727	CG18619	CG18619	transcript overlap	1.853991597	10264594	3.003707136	10264594	5.108672936	10264594	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_10339323_10339946	2L	10339323	10339946	CG5029	SamDC	TSS overlap	3.06407563	10339370	3.023169601	10339496	5.034482759	10339496	1	0	0	0	0		3	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0
2L_10548614_10549385	2L	10548614	10549385	CG31721	Trim9	transcript overlap	2.140461216	10548937	4.230936819	10548937	7.276388889	10548937	1	0	0	0	1	"Biemar et al., 2006, based on in situs"	2	2	2	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0
2L_11447614_11448150	2L	11447614	11448150	CG6464	salm	2011	2.278825996	11447702	4.901960784	11447702	8.215277778	11447702	1	0	0	0	0		0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
2L_11485834_11486368	2L	11485834	11486368	CG4922	sala	TSS overlap	2.115303983	11486198	4.37037037	11485944	6.776388889	11485944	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_11970677_11971482	2L	11970677	11971482	CR31863	bft	TSS overlap	1.544025157	11971290	8.561002179	11971290	15.375	11971010	0	1	0	0	0		3	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2L_12002877_12003792	2L	12002877	12003792	CG6746	CG6746	601	2.593291405	12003120	10.31154684	12003120	16.05277778	12003120	1	0	0	0	0		1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_12007066_12007921	2L	12007066	12007921	CG5279	Rh5	455	2.174004193	12007731	5.074074074	12007451	11.25555556	12007451	1	0	0	0	0		0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
2L_12010444_12012582	2L	12010444	12012582	CG5279	Rh5	2068	2.072327044	12011395	5.015250545	12010554	6.991666667	12010831	1	0	0	0	0		5	3	3	2	2	1	5	2	0	0	0	0	0	0	0	0	0	0
2L_12079753_12080608	2L	12079753	12080608	CG14947	CG14947	2930	2.025157233	12080106	5.956427015	12080106	12.91666667	12080106	1	0	0	0	0		1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2L_12457269_12458378	2L	12457269	12458378	CG5461	bun	transcript overlap	1.50524109	12457411	4.027233115	12457929	6.543055556	12457929	0	1	0	0	1	"Biemar et al., 2006, based on in situs"	3	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2L_12665974_12666528	2L	12665974	12666528	CG12287	pdm2	transcript overlap	2.248427673	12666358	3.648148148	12666358	5.805555556	12666078	1	0	0	0	0		0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0
2L_12679319_12679873	2L	12679319	12679873	CG12287	pdm2	transcript overlap	1.596436059	12679439	4.204793028	12679439	6.615277778	12679439	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_12769126_12769394	2L	12769126	12769394	CG15483	CG15483	7286	2.174004193	12769236	3.9291939	12769236	6.458333333	12769236	1	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_12846913_12847710	2L	12846913	12847710	CG12283	kek1	24126	1.486373166	12847303	4.769063181	12847303	5.618055556	12847303	0	1	0	0	0		4	3	3	3	2	2	5	4	4	4	4	4	1	0	0	0	0	0
